epoch,opponent,win_rate
682,DumbBot,80.0
683,DumbBot,80.0
684,DumbBot,100.0
685,DumbBot,80.0
686,DumbBot,80.0
687,DumbBot,80.0
688,DumbBot,80.0
689,DumbBot,100.0
690,DumbBot,100.0
691,DumbBot,80.0
692,DumbBot,40.0
693,DumbBot,60.0
694,DumbBot,80.0
695,DumbBot,100.0
696,DumbBot,100.0
697,DumbBot,60.0
698,DumbBot,100.0
699,DumbBot,100.0
700,DumbBot,100.0
701,DumbBot,80.0
702,DumbBot,60.0
703,DumbBot,60.0
704,DumbBot,60.0
705,DumbBot,100.0
706,DumbBot,80.0
707,DumbBot,80.0
708,DumbBot,40.0
709,DumbBot,80.0
710,DumbBot,60.0
711,DumbBot,100.0
712,DumbBot,80.0
713,DumbBot,60.0
714,DumbBot,80.0
715,DumbBot,100.0
716,DumbBot,80.0
717,DumbBot,100.0
718,DumbBot,80.0
719,DumbBot,100.0
720,DumbBot,100.0
721,DumbBot,40.0
722,DumbBot,80.0
723,DumbBot,80.0
724,DumbBot,80.0
725,DumbBot,100.0
726,DumbBot,80.0
727,DumbBot,60.0
728,DumbBot,100.0
729,DumbBot,80.0
730,DumbBot,100.0
731,DumbBot,100.0
732,DumbBot,100.0
733,DumbBot,80.0
734,DumbBot,100.0
735,DumbBot,40.0
736,DumbBot,80.0
737,DumbBot,80.0
738,DumbBot,40.0
739,DumbBot,60.0
740,DumbBot,100.0
741,DumbBot,100.0
742,DumbBot,40.0
743,DumbBot,100.0
744,DumbBot,100.0
745,DumbBot,60.0
746,DumbBot,60.0
747,DumbBot,60.0
748,DumbBot,80.0
749,DumbBot,80.0
750,DumbBot,60.0
751,DumbBot,60.0
752,DumbBot,40.0
753,DumbBot,80.0
754,DumbBot,100.0
755,DumbBot,100.0
756,DumbBot,80.0
757,DumbBot,80.0
758,DumbBot,80.0
759,DumbBot,100.0
760,DumbBot,60.0
761,DumbBot,100.0
762,DumbBot,100.0
763,DumbBot,80.0
764,DumbBot,80.0
765,DumbBot,100.0
766,DumbBot,80.0
767,DumbBot,60.0
768,DumbBot,100.0
769,DumbBot,60.0
770,DumbBot,60.0
771,DumbBot,80.0
772,DumbBot,80.0
773,DumbBot,80.0
774,DumbBot,80.0
775,DumbBot,80.0
776,DumbBot,100.0
777,DumbBot,100.0
778,DumbBot,60.0
779,DumbBot,100.0
780,DumbBot,100.0
781,DumbBot,60.0
782,DumbBot,100.0
783,DumbBot,60.0
784,DumbBot,80.0
785,DumbBot,80.0
786,DumbBot,80.0
787,DumbBot,40.0
788,DumbBot,100.0
789,DumbBot,60.0
790,DumbBot,60.0
791,DumbBot,100.0
792,DumbBot,100.0
793,DumbBot,60.0
794,DumbBot,100.0
795,DumbBot,80.0
796,DumbBot,100.0
797,DumbBot,80.0
798,DumbBot,100.0
799,DumbBot,100.0
800,DumbBot,80.0
801,DumbBot,80.0
802,DumbBot,60.0
803,DumbBot,100.0
804,DumbBot,60.0
805,DumbBot,80.0
806,DumbBot,100.0
807,DumbBot,100.0
808,DumbBot,100.0
809,DumbBot,80.0
810,DumbBot,60.0
811,DumbBot,80.0
812,DumbBot,100.0
813,DumbBot,80.0
814,DumbBot,60.0
815,DumbBot,100.0
816,DumbBot,100.0
817,DumbBot,80.0
818,DumbBot,100.0
819,DumbBot,80.0
820,DumbBot,80.0
821,DumbBot,80.0
822,DumbBot,100.0
823,DumbBot,80.0
824,DumbBot,80.0
825,DumbBot,40.0
826,DumbBot,100.0
827,DumbBot,100.0
828,DumbBot,80.0
829,DumbBot,100.0
830,DumbBot,80.0
831,DumbBot,60.0
832,DumbBot,60.0
833,DumbBot,80.0
834,DumbBot,80.0
835,DumbBot,100.0
836,DumbBot,100.0
837,DumbBot,100.0
838,DumbBot,80.0
839,DumbBot,100.0
