turn,color,move,player_name
473,WHITE,G6,MomijiManjuBot
474,BLACK,H7,Human
475,WHITE,G8,MomijiManjuBot
476,WHITE,H6,MomijiManjuBot
477,WHITE,G8,MomijiManjuBot
478,BLACK,H6,Human
479,BLACK,H3,Human
480,WHITE,G2,MomijiManjuBot
481,WHITE,H2,MomijiManjuBot
482,WHITE,G2,MomijiManjuBot
483,BLACK,H2,Human
